"","state","county_name","female","college","dem","rep","age","income","white","black","hispanic","total","state_code","total_votes_12","obama_votes_12","romney_votes_12","total_votes_16","clinton_votes_16","trump_votes_16","twoway12","twoway16"
"1","MI","ALCONA",0.488038277511962,0.325358851674641,0.508771929824561,0.395534290271132,61.4354066985646,53248.8581196581,0.979791385135135,0.000960641891891892,0.00824425675675676,627,"MI",6104,2472,3571,6198,1732,4201,0.409068343537978,0.291926512725434
"2","MI","ALGER",0.501070663811563,0.271948608137045,0.408993576017131,0.355460385438972,55.6436285097192,56034.9384164223,0.925821339950372,0.000736228287841191,0.00869751861042184,467,"MI",4618,2212,2330,4518,1663,2585,0.48701012769705,0.391478342749529
"3","MI","ALLEGAN",0.509187703932681,0.371973209685729,0.376953460415593,0.467284904688305,51.2307031115695,68572.3335694051,0.908815711480093,0.0109861274772362,0.0570245491876451,5823,"MI",52619,20806,31123,56120,18050,34183,0.400662442950952,0.345566978729922
"4","MI","ALPENA",0.509354254677127,0.365721182860591,0.537115268557634,0.353651176825588,54.1968599033816,55804.8433066009,0.967501360544218,0.00182257266542981,0.0108273345701917,1657,"MI",14014,6549,7298,14768,4877,9090,0.472954430562577,0.34918021049617
"5","MI","ANTRIM",0.486862442040185,0.343894899536321,0.259659969088099,0.490726429675425,55.5506573859242,61520.0382653061,0.964053140916808,0.00176833616298812,0.0152979626485569,1294,"MI",13195,5107,7917,13667,4448,8469,0.392122235872236,0.344352403808934
"6","MI","ARENAC",0.528497409326425,0.295336787564767,0.536269430051813,0.365284974093264,56.3696498054475,55253.3346938776,0.963505563282337,0.00240069541029207,0.0107200278164117,772,"MI",7841,3669,4057,7729,2384,4950,0.474889981879368,0.325061358058358
"7","MI","BARAGA",0.514942528735632,0.324137931034483,0.526436781609195,0.347126436781609,53.9586206896552,57452.7125307125,0.795916666666667,0.00240717948717949,0.00825076923076923,435,"MI",3490,1574,1866,3518,1156,2158,0.457558139534884,0.348823174411587
"8","MI","BARRY",0.505314009661836,0.379710144927536,0.372302737520129,0.481159420289855,52.0812379110251,69166.0190538765,0.95310039538715,0.00336375617792422,0.0237694233937397,3105,"MI",28512,11491,16655,30517,9114,19202,0.408264051730264,0.321867495408956
"9","MI","BAY",0.518236254763201,0.412629286880784,0.539103610959898,0.347486844492833,52.3672839506173,62233.7040985113,0.920150827510114,0.0111192350128724,0.0429004045605002,5511,"MI",53381,27877,24911,53274,21642,28328,0.528093506099871,0.43309985991595
"10","MI","BENZIE",0.519677093844601,0.36226034308779,0.48335015136226,0.400605449041372,55.1010101010101,58175.6716738197,0.954634545454545,0.00435048128342246,0.0137471657754011,991,"MI",9901,4685,5075,10228,4108,5539,0.480020491803279,0.425831864828444
